PlayerID,FirstName,LastName,GamesPlayed,InningsPitched,Wins,Losses,Strikeouts,WalksAllowed,HitsAllowed,RunsAllowed,EarnedRunAvg
11,Sonny,Gray,1,5.0,1,0,5,0,5,0,0.00
12,Miles,Mikolas,3,17.0,1,1,12,5,20,9,4.76
13,Lance,Lynn,3,13.2,0,0,18,6,13,4,2.63
14,Steven,Matz,2,10.1,1,0,6,3,9,2,1.74
15,Kyle,Gibson,2,13.0,1,1,9,3,11,9,6.23
16,Ryan,Fernandez,2,2.1,0,0,4,2,5,2,7.71
17,Matthew,Liberatore,6,7.2,0,0,5,4,6,3,3.52
18,Andrew,Kittredge,6,5.0,0,0,6,1,5,1,1.80
19,Keynan,Middleton,0,0.0,0,0,0,0,0,0,0.00
20,Giovanny,Gallegos,6,5.1,1,0,7,2,5,2,3.38
